    E= 8198.5  [ 0, 0, 0, 0, 6, 0] 
    E= 8208.1  [ 0, 1, 0, 2, 0, 0] 
    E= 8240.4  [ 0, 0, 0, 0, 3, 2] 
    E= 8262.6  [ 0, 0, 0, 1, 3, 1] 
    E= 8287.9  [ 0, 0, 1, 0, 4, 0] 
    E= 8291.3  [ 0, 0, 0, 0, 0, 4] 
    E= 8291.5  [ 0, 0, 0, 2, 3, 0] 
    E= 8315.8  [ 0, 0, 0, 1, 0, 3] 
    E= 8353.0  [ 0, 0, 0, 2, 0, 2] 
    E= 8353.8  [ 1, 0, 0, 0, 0, 1] 
    E= 8360.5  [ 0, 0, 1, 0, 1, 2] 
    E= 8375.9  [ 0, 0, 1, 1, 1, 1] 
    E= 8384.3  [ 0, 0, 2, 0, 2, 0] 
    E= 8391.3  [ 0, 1, 0, 0, 2, 1] 
    E= 8397.7  [ 1, 0, 0, 1, 0, 0] 
    E= 8400.9  [ 0, 0, 0, 3, 0, 1] 
    E= 8419.5  [ 0, 0, 1, 2, 1, 0] 
    E= 8436.0  [ 0, 1, 0, 1, 2, 0] 
    E= 8457.5  [ 0, 0, 0, 4, 0, 0] 
    E= 8489.4  [ 0, 0, 3, 0, 0, 0] 
    E= 8527.8  [ 0, 1, 1, 0, 0, 1] 
    E= 8536.7  [ 0, 0, 0, 0, 5, 1] 
    E= 8548.0  [ 0, 0, 0, 1, 5, 0] 
    E= 8549.6  [ 0, 2, 0, 0, 1, 0] 
    E= 8572.9  [ 0, 1, 1, 1, 0, 0] 
    E= 8580.1  [ 0, 0, 0, 0, 2, 3] 
    E= 8602.7  [ 0, 0, 0, 1, 2, 2] 
    E= 8632.8  [ 0, 0, 0, 2, 2, 1] 
    E= 8638.5  [ 0, 0, 1, 0, 3, 1] 
    E= 8639.2  [ 1, 0, 0, 0, 2, 0] 
    E= 8662.2  [ 0, 0, 1, 1, 3, 0] 
    E= 8672.1  [ 0, 0, 0, 3, 2, 0] 
    E= 8678.7  [ 0, 1, 0, 0, 4, 0] 
    E= 8713.6  [ 0, 0, 1, 0, 0, 3] 
    E= 8716.8  [ 0, 1, 0, 0, 1, 2] 
    E= 8734.8  [ 0, 0, 1, 1, 0, 2] 
    E= 8746.9  [ 0, 0, 2, 0, 1, 1] 
    E= 8747.2  [ 0, 0, 2, 1, 1, 0] 
    E= 8754.7  [ 0, 0, 1, 2, 0, 1] 
    E= 8766.4  [ 1, 0, 1, 0, 0, 0] 
    E= 8773.5  [ 0, 1, 0, 1, 1, 1] 
    E= 8796.3  [ 0, 0, 1, 3, 0, 0] 
    E= 8804.2  [ 0, 1, 1, 0, 2, 0] 
    E= 8823.1  [ 0, 1, 0, 2, 1, 0] 
    E= 8835.6  [ 0, 0, 0, 0, 7, 0] 
    E= 8874.8  [ 0, 0, 0, 0, 4, 2] 
    E= 8885.7  [ 0, 2, 0, 0, 0, 1] 
    E= 8888.8  [ 0, 0, 0, 1, 4, 1] 
    E= 8909.7  [ 0, 0, 0, 2, 4, 0] 
    E= 8920.9  [ 0, 0, 1, 0, 5, 0] 
    E= 8922.0  [ 0, 0, 0, 0, 1, 4] 
    E= 8931.1  [ 0, 1, 2, 0, 0, 0] 
    E= 8942.0  [ 0, 0, 0, 1, 1, 3] 
    E= 8957.7  [ 0, 2, 0, 1, 0, 0] 
    E= 8973.6  [ 0, 0, 0, 2, 1, 2] 
    E= 8982.4  [ 1, 0, 0, 0, 1, 1] 
    E= 8988.2  [ 0, 0, 1, 0, 2, 2] 
    E= 9003.3  [ 0, 0, 1, 1, 2, 1] 
    E= 9010.2  [ 0, 0, 2, 0, 3, 0] 
    E= 9012.9  [ 0, 0, 0, 3, 1, 1] 
    E= 9015.2  [ 1, 0, 0, 1, 1, 0] 
    E= 9017.4  [ 0, 1, 0, 0, 3, 1] 
    E= 9045.7  [ 0, 0, 1, 2, 2, 0] 
    E= 9056.4  [ 0, 1, 0, 1, 3, 0] 
    E= 9061.2  [ 0, 1, 0, 0, 0, 3] 
    E= 9072.5  [ 0, 0, 0, 4, 1, 0] 
    E= 9104.7  [ 0, 1, 0, 1, 0, 2] 
    E= 9108.5  [ 0, 0, 3, 0, 1, 0] 
    E= 9111.8  [ 0, 0, 2, 0, 0, 2] 
    E= 9116.5  [ 0, 0, 2, 1, 0, 1] 
    E= 9139.9  [ 0, 0, 2, 2, 0, 0] 
    E= 9152.3  [ 0, 1, 1, 0, 1, 1] 
    E= 9156.4  [ 0, 1, 0, 2, 0, 1] 
    E= 9159.6  [ 1, 1, 0, 0, 0, 0] 
    E= 9170.1  [ 0, 2, 0, 0, 2, 0] 
    E= 9173.9  [ 0, 0, 0, 0, 6, 1] 
    E= 9176.8  [ 0, 0, 0, 1, 6, 0] 
    E= 9195.5  [ 0, 1, 1, 1, 1, 0] 
    E= 9213.9  [ 0, 0, 0, 0, 3, 3] 
    E= 9215.4  [ 0, 1, 0, 3, 0, 0] 
    E= 9229.3  [ 0, 0, 0, 1, 3, 2] 
    E= 9252.4  [ 0, 0, 0, 2, 3, 1] 
    E= 9266.4  [ 1, 0, 0, 0, 3, 0] 
    E= 9266.5  [ 0, 0, 0, 0, 0, 5] 
    E= 9269.9  [ 0, 0, 1, 0, 4, 1] 
